readcode,readterm,eth16,eth5,medcode
9S42.00,black caribbean/w.i./guyana,14. Other Black,2. Black,57435
9iC..00,african - ethnic category 2001 census,13. African,2. Black,12350
9iA9.00,mixed asian - ethnic category 2001 census,11. Other Asian,1. South Asian,46056
9S45.12,black indo-caribbean,14. Other Black,2. Black,57763
9S45.00,black e afric asia/indo-caribb,14. Other Black,2. Black,47965
9t2H.00,other ethnic grp: arab/arab scot/arab british- scotland 2011,16. Other ethnic group,3. Other,112245
9S43.00,black n african/arab/iranian,14. Other Black,2. Black,41329
9i0..00,british or mixed british - ethnic category 2001 census,1. British,0. White,12351
134I.00,race: bangladeshi,10. Bangladeshi,1. South Asian,26348
9t24.00,white: polish - scotland ethnic category 2011 census,3. Other White,0. White,110465
9SAB.11,Turkish (NMO),16. Other ethnic group,3. Other,32126
9t2G.00,carib/black: any other black/caribbean grp - scotland 2011,14. Other Black,2. Black,112216
9S44.00,black - other african country,13. African,2. Black,35412
9SB..00,"Other ethnic, mixed origin",7. Other Mixed,4. Mixed,12696
9SAD.00,Other ethnic NEC (NMO),16. Other ethnic group,3. Other,41214
9T12.00,other european in new zealand,16. Other ethnic group,3. Other,85505
9SA1.00,Brit. ethnic minor. spec.(NMO),16. Other ethnic group,3. Other,32110
9t1B.00,black/afri/carib/black brit: african- ni eth cat 2011 census,13. African,2. Black,110630
9SJ..00,Other ethnic group,16. Other ethnic group,3. Other,12757
9T1Y.00,,16. Other ethnic group,3. Other,96789
9t20.00,white: scottish - scotland ethnic category 2011 census,1. British,0. White,110432
226..00,,17. Not Stated,5. Not Stated,25969
134N.00,race: white,1. British,0. White,25550
9SA3.12,west indian (nmo),14. Other Black,2. Black,57075
9i2..00,other white background - ethnic category 2001 census,3. Other White,0. White,12421
9t1C.00,black/afri/carib/black brit: caribbean- ni eth cat 2011 cens,12. Caribbean,2. Black,110779
9i4..00,white and black african - ethnic category 2001 census,5. White and Black African,4. Mixed,12437
9t0E.00,black/african/caribbn/black brit: caribbean - eng+wales 2011,12. Caribbean,2. Black,110436
9i23.00,Cornish - ethnic category 2001 census,3. Other White,0. White,28887
9i2N.00,Serbian - ethnic category 2001 census,3. Other White,0. White,47074
1343.00,asian origin,11. Other Asian,1. South Asian,25801
9i21.00,scottish - ethnic category 2001 census,3. Other White,0. White,12436
9S...00,Ethnic groups (1991 census),17. Not Stated,5. Not Stated,10196
9SA6.00,e afric asian/indo-carib (nmo),11. Other Asian,1. South Asian,38097
9t27.00,asian: pakistani/pakistani scot/pakistani brit- scot 2011,9. Pakistani,1. South Asian,110460
9t00.00,white:eng/welsh/scot/ni/brit - england and wales 2011 census,1. British,0. White,110420
9SB4.00,"Other ethnic, other mixed orig",7. Other Mixed,4. Mixed,32420
9S41.00,black british,14. Other Black,2. Black,12452
9SAA.12,Greek Cypriot (NMO),16. Other ethnic group,3. Other,47949
9iA7.00,caribbean asian - ethnic category 2001 census,11. Other Asian,1. South Asian,32399
9S11.00,white irish,2. Irish,0. White,24837
9i2K.00,Albanian - ethnic category 2001 census,3. Other White,0. White,25422
1341.00,european origin,3. Other White,0. White,25656
9i24.00,northern irish - ethnic category 2001 census,3. Other White,0. White,42294
9i2D.00,Traveller - ethnic category 2001 census,3. Other White,0. White,55113
9i1..00,irish - ethnic category 2001 census,2. Irish,0. White,12532
9i2Q.00,mixed irish and other white - ethnic category 2001 census,3. Other White,0. White,26391
9i2E.00,Gypsy/Romany - ethnic category 2001 census,3. Other White,0. White,42290
9t02.00,white: gypsy/irish traveller - eng+wales eth cat 2011 census,3. Other White,0. White,111386
9iFH.00,South and Central American - ethnic category 2001 census,16. Other ethnic group,3. Other,12756
9S51.00,other black - black/white orig,7. Other Mixed,4. Mixed,25623
9iA5.00,Tamil - ethnic category 2001 census,11. Other Asian,1. South Asian,12760
9T1Z.00,,16. Other ethnic group,3. Other,71425
9SAB.12,Turkish Cypriot (NMO),16. Other ethnic group,3. Other,32069
9iA1.00,Punjabi - ethnic category 2001 census,11. Other Asian,1. South Asian,26392
9iF3.00,Malaysian - ethnic category 2001 census,16. Other ethnic group,3. Other,12730
9i2P.00,Other republics former Yugoslavia - ethnic categ 2001 census,3. Other White,0. White,28936
9T11.00,new zealand european,16. Other ethnic group,3. Other,57286
9T1..00,,17. Not Stated,5. Not Stated,45008
9SA9.00,irish (nmo),2. Irish,0. White,24270
134A.00,west indian origin,11. Other Asian,1. South Asian,45131
9S9..00,Chinese,15. Chinese,3. Other,24272
9SA6.12,indo-caribbean (nmo),11. Other Asian,1. South Asian,99316
9iF9.00,Arab - ethnic category 2001 census,16. Other ethnic group,3. Other,46059
9S48.00,black black - other,14. Other Black,2. Black,26312
9S45.11,black east african asian,14. Other Black,2. Black,57753
9iFE.00,Kurdish - ethnic category 2001 census,16. Other ethnic group,3. Other,45964
9iF..00,Other - ethnic category 2001 census,16. Other ethnic group,3. Other,12434
9SA3.13,Guyana (NMO),14. Other Black,2. Black,93144
9iF2.00,Filipino - ethnic category 2001 census,16. Other ethnic group,3. Other,12420
9SA3.11,caribbean island (nmo),14. Other Black,2. Black,57094
9i27.00,Greek - ethnic category 2001 census,3. Other White,0. White,12355
9t0H.00,,16. Other ethnic group,3. Other,110742
9t0B.00,asian/asian brit: chinese - eng+wales ethnic cat 2011 census,15. Chinese,3. Other,110922
9iD2.00,black british - ethnic category 2001 census,14. Other Black,2. Black,40097
9t2F.00,carib/black: black/black scot/black brit- scotland 2011 cens,14. Other Black,2. Black,112649
9SA8.00,other asian (nmo),11. Other Asian,1. South Asian,26379
9iD..00,other black background - ethnic category 2001 census,14. Other Black,2. Black,32389
9iFD.00,Iranian - ethnic category 2001 census,16. Other ethnic group,3. Other,25937
9S13.00,white scottish,3. Other White,0. White,26467
9S5..00,"black - other, mixed",14. Other Black,2. Black,25676
9t26.00,,7. Other Mixed,4. Mixed,110696
9t04.00,mixed: white+black caribbean - eng+wales eth cat 2011 census,4. White and Black Caribbean,4. Mixed,110445
9iB..00,caribbean - ethnic category 2001 census,12. Caribbean,2. Black,12432
9SD..00,Ethnic group not given - patient refused,17. Not Stated,5. Not Stated,12429
9i7..00,indian or british indian - ethnic category 2001 census,8. Indian,1. South Asian,12414
9iFF.00,Moroccan - ethnic category 2001 census,16. Other ethnic group,3. Other,25451
9SAA.11,Greek (NMO),16. Other ethnic group,3. Other,45955
9iF1.00,Japanese - ethnic category 2001 census,16. Other ethnic group,3. Other,12473
9iFB.00,"Mid East (excl Israeli, Iranian & Arab) - eth cat 2001 cens",16. Other ethnic group,3. Other,28909
9i2F.00,Polish - ethnic category 2001 census,3. Other White,0. White,12467
9SAA.00,Greek/Greek Cypriot (NMO),16. Other ethnic group,3. Other,45947
9t17.00,asian/asian british: pakistani - ni ethnic cat 2011 census,9. Pakistani,1. South Asian,110538
226Z.00,,17. Not Stated,5. Not Stated,60284
9T1D.00,indian,16. Other ethnic group,3. Other,25920
9SB5.00,black caribbean and white,4. White and Black Caribbean,4. Mixed,32425
9iD0.00,Somali - ethnic category 2001 census,14. Other Black,2. Black,12443
9S4..00,"black, other, non-mixed origin",14. Other Black,2. Black,24339
9SA5.00,other african countries (nmo),13. African,2. Black,47969
9t05.00,mixed: white+black african - eng+wales eth cat 2011 census,5. White and Black African,4. Mixed,110421
9S12.00,other white ethnic group,3. Other White,0. White,12444
9S7..00,pakistani,9. Pakistani,1. South Asian,24690
9SB2.00,"other ethnic, asian/white orig",6. White and Asian,4. Mixed,32401
9i25.00,Ulster Scots - ethnic category 2001 census,3. Other White,0. White,40102
9iF7.00,Muslim - ethnic category 2001 census,16. Other ethnic group,3. Other,47091
9i26.00,Cypriot (part not stated) - ethnic category 2001 census,3. Other White,0. White,32778
9i2G.00,Baltic Estonian/Latvian/Lithuanian - ethn categ 2001 census,3. Other White,0. White,12433
9t2C.00,african: african/african scot/african brit - scotland 2011,13. African,2. Black,111059
9t06.00,mixed: white+asian - eng+wales ethnic category 2011 census,6. White and Asian,4. Mixed,110652
134M.00,race: pakistani,9. Pakistani,1. South Asian,26062
9S6..00,indian,8. Indian,1. South Asian,12482
9i2S.00,other mixed white - ethnic category 2001 census,3. Other White,0. White,28900
9i8..00,pakistani or british pakistani - ethnic category 2001 census,9. Pakistani,1. South Asian,12460
134B.00,race: caucasian,3. Other White,0. White,12191
9S42.11,black caribbean,14. Other Black,2. Black,47950
9T1E.00,other asian,16. Other ethnic group,3. Other,32396
9S46.00,black indian sub-continent,14. Other Black,2. Black,48005
9t13.00,mixed: white and black african - ni ethnic cat 2011 census,5. White and Black African,4. Mixed,110651
9i2B.00,Italian - ethnic category 2001 census,3. Other White,0. White,12412
9i60.00,black and asian - ethnic category 2001 census,7. Other Mixed,4. Mixed,12795
9S42.12,black west indian,14. Other Black,2. Black,47997
9t2A.00,asian: chinese - scotland ethnic category 2011 census,15. Chinese,3. Other,111064
9t0..00,,17. Not Stated,5. Not Stated,110417
9t1E.00,,16. Other ethnic group,3. Other,110780
9iA8.00,british asian - ethnic category 2001 census,11. Other Asian,1. South Asian,12653
9i00.00,white british - ethnic category 2001 census,1. British,0. White,98111
9iFJ.00,Mauritian/Seychellois/Maldivian/St Helena eth cat 2001census,16. Other ethnic group,3. Other,32382
9i2L.00,Bosnian - ethnic category 2001 census,3. Other White,0. White,46956
9t2..00,,17. Not Stated,5. Not Stated,110962
9T...00,,17. Not Stated,5. Not Stated,23955
9SA2.00,Brit. ethnic minor. unsp (NMO),16. Other ethnic group,3. Other,57764
9t0D.00,black/african/carib/black brit: african- eng+wales 2011 cens,13. African,2. Black,110437
9t10.00,white - northern ireland ethnic category 2011 census,1. British,0. White,112899
9SA3.00,caribbean i./w.i./guyana (nmo),14. Other Black,2. Black,54593
9i5..00,white and asian - ethnic category 2001 census,6. White and Asian,4. Mixed,12638
9S14.00,other white british ethnic group,1. British,0. White,26310
9i3..00,white and black caribbean - ethnic category 2001 census,4. White and Black Caribbean,4. Mixed,12742
9iF8.00,Sikh - ethnic category 2001 census,16. Other ethnic group,3. Other,49658
9t19.00,asian/asian british: chinese - ni ethnic cat 2011 census,15. Chinese,3. Other,112363
9SE..00,Ethnic group not recorded,17. Not Stated,5. Not Stated,24340
9t2E.00,carib/black: caribbean/carib scot/carib brit- scotland 2011,12. Caribbean,2. Black,113671
9t23.00,white: gypsy/irish traveller - scotland ethnic cat 2011 cens,3. Other White,0. White,113253
9t09.00,asian/asian british:pakistani- eng+wales eth cat 2011 census,9. Pakistani,1. South Asian,110464
9t1..00,,17. Not Stated,5. Not Stated,112302
134L.00,race: afro-caucasian,5. White and Black African,4. Mixed,45167
9S2..00,black caribbean,12. Caribbean,2. Black,12632
9iA2.00,Kashmiri - ethnic category 2001 census,11. Other Asian,1. South Asian,64133
9SH..00,other asian ethnic group,11. Other Asian,1. South Asian,12668
9SA6.11,east african asian (nmo),11. Other Asian,1. South Asian,46818
9S43.13,black iranian,14. Other Black,2. Black,50286
9SG..00,other black ethnic group,14. Other Black,2. Black,32136
9t2D.00,african: any other african - scotland ethnic cat 2011 census,13. African,2. Black,110655
9iFA.00,north african - ethnic category 2001 census,16. Other ethnic group,3. Other,47028
9t01.00,white: irish - england and wales ethnic category 2011 census,2. Irish,0. White,110556
9i2H.00,Commonwealth (Russian) Indep States - ethn categ 2001 census,3. Other White,0. White,28973
9SZ..00,Ethnic groups (census) NOS,17. Not Stated,5. Not Stated,45199
9S8..00,bangladeshi,10. Bangladeshi,1. South Asian,24740
9i2C.00,irish traveller - ethnic category 2001 census,3. Other White,0. White,55223
9iD4.00,other black or black unspecified ethnic category 2001 census,14. Other Black,2. Black,46047
