medcode,readterm,cci_1mi,cci_1ccf,cci_1pad,cci_1stroke,cci_1dement,cci_1resp,cci_1ctd,cci_1peptic,cci_1liver,cci_2hemi,cci_2renal,cci_2diabcomp,cci_2cancer,cci_2leuk,cci_2lymph,cci_3liver,cci_6mets,cci_6hiv
241,Acute myocardial infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1204,Heart attack,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1677,MI - acute myocardial infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1678,Inferior myocardial infarction NOS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2491,Coronary thrombosis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3704,Acute subendocardial infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5387,Other specified anterior myocardial infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7783,ECG: myocardial infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8935,Acute inferolateral infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9507,Acute non-Q wave infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10562,Acute non-Q wave infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12139,Acute anterolateral infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12229,Acute ST segment elevation myocardial infarction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13566,Attack - heart,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13571,Thrombosis - coronary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14658,Acute myocardial infarction NOS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14897,Anterior myocardial infarction NOS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14898,Lateral myocardial infarction NOS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
